"pair","pairwise_distance","dH","frxfr","dH_bin"
"Escherichia coli---Akkermansia muciniphila",0.227605118829982,0.582271824811779,0.026887,"(0.55,0.6]"
"Proteus vulgaris---Akkermansia muciniphila",0.22667829119442,0.579780352673173,0.009352,"(0.55,0.6]"
"Proteus mirabilis---Akkermansia muciniphila",0.232682060390764,0.595919517179472,0.009185,"(0.55,0.6]"
"Pseudomonas aeruginosa---Akkermansia muciniphila",0.198088618592528,0.502926394065936,0.036573,"(0.5,0.55]"
"Burkholderia pyrrocinia---Akkermansia muciniphila",0.221631205673759,0.566212918477846,0.02338,"(0.55,0.6]"
"Enterococcus faecalis---Akkermansia muciniphila",0.216333622936577,0.551972104668217,0.042084,"(0.55,0.6]"
"Lactobacillus fermentum---Akkermansia muciniphila",0.217235188509874,0.554395668037297,0.030728,"(0.55,0.6]"
"Listeria monocytogenes---Akkermansia muciniphila",0.211886304909561,0.540016948681615,0.023547,"(0.5,0.55]"
"Staphylococcus aureus---Akkermansia muciniphila",0.217312894499549,0.554604555106315,0.025885,"(0.55,0.6]"
"Bacillus subtilis---Akkermansia muciniphila",0.203098106712565,0.516392759980012,0.035738,"(0.5,0.55]"
"Salmonella enterica---Porphyromonas gingivalis",0.159907300115875,0.400288441171707,0.01539,"(0.4,0.45]"
"Escherichia coli---Porphyromonas gingivalis",0.227483751160631,0.581945567636106,0.015295,"(0.55,0.6]"
"Proteus vulgaris---Porphyromonas gingivalis",0.231267345050879,0.592116518953975,0.00532,"(0.55,0.6]"
"Proteus mirabilis---Porphyromonas gingivalis",0.231763619575254,0.593450590256059,0.005225,"(0.55,0.6]"
"Pseudomonas aeruginosa---Porphyromonas gingivalis",0.220494053064959,0.563156056626233,0.020805,"(0.55,0.6]"
"Burkholderia pyrrocinia---Porphyromonas gingivalis",0.227788279773157,0.582764192938594,0.0133,"(0.55,0.6]"
"Enterococcus faecalis---Porphyromonas gingivalis",0.231674208144796,0.593210236948377,0.02394,"(0.55,0.6]"
"Lactobacillus fermentum---Porphyromonas gingivalis",0.231197771587744,0.59192949351544,0.01748,"(0.55,0.6]"
"Listeria monocytogenes---Porphyromonas gingivalis",0.228571428571429,0.584869431643625,0.013395,"(0.55,0.6]"
"Staphylococcus aureus---Porphyromonas gingivalis",0.230121608980355,0.589036583280525,0.014725,"(0.55,0.6]"
"Bacillus subtilis---Porphyromonas gingivalis",0.226982680036463,0.580598602248557,0.02033,"(0.55,0.6]"
"Akkermansia muciniphila---Porphyromonas gingivalis",0.238313473877177,0.611057725476282,0.015865,"(0.6,0.65]"
