"pair","pairwise_distance","frxfr"
"2312---5394",0.21885753613214,0.000137829992480775
"8239---5394",0.151753758052971,4.1948256026691e-05
"14420---5394",0.162839248434238,4.7940868227042e-05
"6630---5394",0.194598337950139,0.000245696943543639
"8903---5394",0.299033149171271,1.7977826809131e-05
"27---5394",0.228335625859697,1.7977826809131e-05
"4556---5394",0.259863945578231,2.9963041417911e-05
"3171---5394",0.199585635359116,1.7977826809131e-05
"8189---5394",0.0996466431095406,3.5955648722301e-05
"849---5394",0.195221843003413,1.7977826809131e-05
"175---5394",0.240027510316369,2.9963041417911e-05
"2912---746",0.181889149102264,0.000515364316304838
"6172---746",0.173144876325088,0.00122399021175031
"4782---746",0.234735413839891,0.000579784842685048
"5183---746",0.14033850493653,0.000322102684532629
"754---746",0.197154471544715,0.000257682158152419
"4459---746",0.301598332175122,0.000322102684532629
"248---746",0.120854826823876,0.000386523210912839
"4172---746",0.0131852879944483,0.00277008310803324
"78---746",0.0871369294605809,0.0145590414356117
"6556---746",0.131860299358517,0.000644205369065258
"2312---746",0.221102150537634,0.00148167236990273
"8239---746",0.185133239831697,0.000450943737293049
"14420---746",0.198100407055631,0.000515364316304838
"6630---746",0.16759388038943,0.00264124205527282
"8903---746",0.306473829201102,0.000193261631772209
"27---746",0.220805369127517,0.000193261631772209
"4556---746",0.249495628782784,0.000322102684532629
"3171---746",0.0376306620209059,0.000193261631772209
"8189---746",0.209655172413793,0.000386523210912839
"849---746",0.218291054739653,0.000193261631772209
"175---746",0.227553118574366,0.000322102684532629
"5394---746",0.200413223140496,0.000257682158152419
"2912---15943",0.170212765957447,0.00172587119742198
"6172---15943",0.146892655367232,0.00409894396168626
"4782---15943",0.235413839891452,0.00194160505303608
"5183---15943",0.211893369788107,0.00107866945432509
"754---15943",0.126358695652174,0.00086293559871099
"4459---15943",0.290833907649897,0.00107866945432509
"248---15943",0.221428571428571,0.00129440330993919
"4172---15943",0.220509383378016,0.00927655737769761
"78---15943",0.227059611520429,0.0487558596527523
"6556---15943",0.191370911621434,0.00215733890865018
"2312---15943",0.222371967654987,0.00496187956039725
"8239---15943",0.158707865168539,0.00151013716555329
"14420---15943",0.156929347826087,0.00172587119742198
"6630---15943",0.206896551724138,0.00884508966646941
"8903---15943",0.304054054054054,0.00064720174309689
"27---15943",0.241263440860215,0.00064720174309689
"4556---15943",0.261620185922975,0.00107866945432509
"3171---15943",0.217654986522911,0.00064720174309689
"8189---15943",0.0919778699861688,0.00129440330993919
"849---15943",0.194,0.00064720174309689
"175---15943",0.253530598520511,0.00107866945432509
"5394---15943",0.0919143054595715,0.00086293559871099
"746---15943",0.220053835800808,0.00927655737769761
"2912---1823",0.18368962787015,4.7940868227042e-05
"6172---1823",0.15024805102764,0.000113859558367254
"4782---1823",0.224711473183978,5.3933475531432e-05
"5183---1823",0.223055934515689,2.9963041417911e-05
"754---1823",0.143534190927556,2.3970434113521e-05
"4459---1823",0.296907216494845,2.9963041417911e-05
"248---1823",0.222380612972202,3.5955648722301e-05
"4172---1823",0.222147651006711,0.000257682158152419
"78---1823",0.231078365706631,0.00135432948090231
"6556---1823",0.201809324982603,5.9926082835822e-05
"2312---1823",0.222895622895623,0.000137829992480775
"8239---1823",0.14726507713885,4.1948256026691e-05
"14420---1823",0.1642905634759,4.7940868227042e-05
"6630---1823",0.206499661475965,0.000245696943543639
"8903---1823",0.301212938005391,1.7977826809131e-05
"27---1823",0.240268456375839,1.7977826809131e-05
"4556---1823",0.26790450928382,2.9963041417911e-05
"3171---1823",0.229320780094149,1.7977826809131e-05
"8189---1823",0.0924895688456189,3.5955648722301e-05
"849---1823",0.208805870580387,1.7977826809131e-05
"175---1823",0.25739247311828,2.9963041417911e-05
"5394---1823",0.114720110573601,2.3970434113521e-05
"746---1823",0.223045822102426,0.000257682158152419
"15943---1823",0.131578947368421,0.00086293559871099
"2912---16455",0.238517324738114,0.000119852165671644
"6172---16455",0.24400871459695,0.000284648884290228
"4782---16455",0.273235499650594,0.000134833683320624
"5183---16455",0.281650071123755,7.4907600484802e-05
"754---16455",0.289986091794159,5.9926082835822e-05
"4459---16455",0.0770877944325482,7.4907600484802e-05
"248---16455",0.260772659732541,8.9889118133782e-05
"4172---16455",0.29111266620014,0.000644205369065258
"78---16455",0.280027932960894,0.00338582356394487
"6556---16455",0.265512265512266,0.000149815200969604
"2312---16455",0.273669661368348,0.00034457496712605
"8239---16455",0.260963335729691,0.000104870635782762
"14420---16455",0.258536585365854,0.000119852165671644
"6630---16455",0.264830508474576,0.000614242333767298
"8903---16455",0.257042253521127,4.4944565186842e-05
"27---16455",0.3,4.4944565186842e-05
"4556---16455",0.278812974465148,7.4907600484802e-05
"3171---16455",0.286516853932584,4.4944565186842e-05
"8189---16455",0.269559032716927,8.9889118133782e-05
"849---16455",0.294924554183813,4.4944565186842e-05
"175---16455",0.305380852550664,7.4907600484802e-05
"5394---16455",0.277620396600567,5.9926082835822e-05
"746---16455",0.290934645115952,0.000644205369065258
"15943---16455",0.283240997229917,0.00215733890865018
"1823---16455",0.286307053941909,5.9926082835822e-05
"2912---9751",0.184083601286174,0.000227719116734508
"6172---9751",0.162889518413598,0.000540832884802596
"4782---9751",0.244911804613297,0.000256184000512368
"5183---9751",0.230506155950752,0.000142324442145114
"754---9751",0.130346232179226,0.000113859558367254
"4459---9751",0.302341597796143,0.000142324442145114
"248---9751",0.232474964234621,0.000170789325922974
"4172---9751",0.2280348759222,0.00122399021175031
"78---9751",0.237617135207497,0.00643306482681962
"6556---9751",0.214484679665738,0.000284648884290228
"2312---9751",0.23485868102288,0.00065469244316985
"8239---9751",0.157082748948107,0.000199254209700834
"14420---9751",0.173351461590755,0.000227719116734508
"6630---9751",0.206779661016949,0.00116706044419459
"8903---9751",0.303788903924222,8.5394674589394e-05
"27---9751",0.25084061869536,8.5394674589394e-05
