"N","frequency","BWPD","HMAa","seed"
50,"intermediate",0.879991908578969,0.494645615015885,1004
50,"extremely skewed",0.472402192532238,0.286325096804489,1004
60,"equally abundant",0.840057333333333,0.490808376457485,1004
60,"intermediate",0.880568518041622,0.531243405922263,1004
60,"extremely skewed",0.618513851539098,0.296354010579317,1004
70,"equally abundant",0.823949142857143,0.485061932324849,1004
70,"intermediate",0.805116577790993,0.481054454123964,1004
70,"extremely skewed",0.541400337637517,0.290954597159094,1004
80,"equally abundant",0.83269525,0.494491844641494,1004
80,"intermediate",0.818350386577345,0.485578643285828,1004
80,"extremely skewed",0.817308164311232,0.366827820947024,1004
100,"equally abundant",0.8306572,0.492946753219629,1004
100,"intermediate",0.824828010861312,0.490192230787435,1004
100,"extremely skewed",0.499491927601232,0.268921863652441,1004
120,"equally abundant",0.814580666666667,0.48812781387235,1004
120,"intermediate",0.805901092527214,0.483189371892392,1004
120,"extremely skewed",0.779954168856187,0.401903848682129,1004
150,"equally abundant",0.816232933333334,0.487801513327143,1004
150,"intermediate",0.801584854287507,0.478950783548303,1004
150,"extremely skewed",0.68614127860925,0.35125022801015,1004
180,"equally abundant",0.812214333333333,0.484895794786575,1004
180,"intermediate",0.808574323236636,0.48519651671101,1004
180,"extremely skewed",0.744190894569803,0.415050577112824,1004
200,"equally abundant",0.8034164,0.481742544367945,1004
200,"intermediate",0.80629792914112,0.478314423872272,1004
200,"extremely skewed",0.751638002791612,0.398515151332583,1004
10,"equally abundant",0.83957,0.397865901296848,1005
10,"intermediate",0.823194127053195,0.38406964826744,1005
10,"extremely skewed",0.166154022390151,0.0882164967564385,1005
20,"equally abundant",0.778838,0.458913326868006,1005
20,"intermediate",0.73655421508548,0.439472283662936,1005
20,"extremely skewed",0.00991327940165383,0.00669073720135085,1005
30,"equally abundant",0.79461,0.465831206169767,1005
30,"intermediate",0.760151682646468,0.476998870182027,1005
30,"extremely skewed",0.0698546763907404,0.0474429356829508,1005
40,"equally abundant",0.7970415,0.485335982770567,1005
40,"intermediate",0.791626339533386,0.494426540185196,1005
40,"extremely skewed",0.134686157173746,0.0730575717744609,1005
50,"equally abundant",0.7905576,0.494507039605366,1005
50,"intermediate",0.782183322948988,0.494817332857979,1005
50,"extremely skewed",0.0239817622125366,0.018217485372922,1005
60,"equally abundant",0.773593666666667,0.476002893021074,1005
60,"intermediate",0.765539212837166,0.469519644669752,1005
60,"extremely skewed",0.131929733856688,0.0883253518953953,1005
70,"equally abundant",0.778334571428571,0.472188235155585,1005
70,"intermediate",0.78375839270617,0.467296471140104,1005
70,"extremely skewed",0.145265699189476,0.0979906607330838,1005
80,"equally abundant",0.77487775,0.471525039078519,1005
80,"intermediate",0.785145220776159,0.48578998313341,1005
80,"extremely skewed",0.285780881587584,0.195615866495774,1005
100,"equally abundant",0.775585,0.468701720088327,1005
100,"intermediate",0.777551170816859,0.468761571253874,1005
100,"extremely skewed",0.416212249505509,0.249120059049656,1005
120,"equally abundant",0.764694833333333,0.472526449546757,1005
120,"intermediate",0.769410516786711,0.470019784647256,1005
120,"extremely skewed",0.364213260250782,0.196247371186089,1005
150,"equally abundant",0.776702133333334,0.475677778075711,1005
150,"intermediate",0.787234536011295,0.483103150597443,1005
150,"extremely skewed",0.691594349731089,0.326465576784954,1005
180,"equally abundant",0.768113333333333,0.469204486404017,1005
180,"intermediate",0.766907263733774,0.468435626333979,1005
180,"extremely skewed",0.559939705975891,0.288850184070405,1005
200,"equally abundant",0.7703088,0.467014336830929,1005
200,"intermediate",0.769462271197591,0.466868266547909,1005
200,"extremely skewed",0.568779977880629,0.310393270900135,1005
10,"equally abundant",0.868514,0.510458574856419,1006
10,"intermediate",0.807384512305891,0.369256615208678,1006
10,"extremely skewed",0.0185030010473217,0.0105848144891862,1006
20,"equally abundant",0.841295,0.484525845129094,1006
20,"intermediate",0.792228144747542,0.479174161582952,1006
20,"extremely skewed",0.444539644183618,0.228036672818466,1006
30,"equally abundant",0.849562666666667,0.505132169516437,1006
30,"intermediate",0.81230605297391,0.480303309451486,1006
30,"extremely skewed",0.445708781125469,0.176482947238565,1006
40,"equally abundant",0.8448895,0.50191993315374,1006
40,"intermediate",0.830954301893161,0.476055366634568,1006
40,"extremely skewed",0.626226465361329,0.304003025641373,1006
50,"equally abundant",0.8056172,0.495984012980553,1006
50,"intermediate",0.800666479134597,0.473742923594014,1006
50,"extremely skewed",0.495589682058862,0.279959367935212,1006
60,"equally abundant",0.804286333333333,0.505596633229922,1006
60,"intermediate",0.779713229066765,0.489284000630588,1006
60,"extremely skewed",0.454835503819613,0.24914367074428,1006
70,"equally abundant",0.819328,0.511827038496329,1006
70,"intermediate",0.827154598704555,0.486181272793143,1006
70,"extremely skewed",0.250349241718604,0.15688666427981,1006
80,"equally abundant",0.8227665,0.514003902829411,1006
80,"intermediate",0.839814324381642,0.52188903520197,1006
80,"extremely skewed",0.397243422588201,0.203788515335597,1006
100,"equally abundant",0.8051216,0.504481041282284,1006
100,"intermediate",0.791482734917148,0.504995363848942,1006
100,"extremely skewed",0.446891567794989,0.292790707352921,1006
120,"equally abundant",0.792103166666667,0.498354025111143,1006
120,"intermediate",0.795620439394732,0.496388600058382,1006
