"size_difference","shared_otu","comA_HMAa","comB_HMAa","All_HMAa","HMAb","Rao_beta","UniFrac","seed"
0,0,0.236813768495243,0.183202063731139,0.407666401100811,0.39531696997524,0.271558081236888,0.572963883365132,1001
20,0,0.203863249951428,0.184045931525793,0.344383227083564,0.300857272689907,0.244993235269442,0.52416095621592,1001
40,0,0.216918648457087,0.270446845876638,0.330344022453864,0.173322550574001,0.160517271257047,0.340196530494216,1001
60,0,0.111311259289133,0.33830513870594,0.574453088207012,0.699289778418952,0.366068513537042,0.864849787351711,1001
0,0,0.319456385816001,0.13678980621424,0.370790418250097,0.285334644469952,0.211698280288658,0.383761641040891,1001
20,0,0.158686699206932,0.181947903727401,0.352708501864936,0.364782400795539,0.287640466191357,0.473444592901409,1001
40,0,0.127981156000601,0.204694708766132,0.303660733564667,0.274645602362601,0.248554924186801,0.397849188836597,1001
60,0,0.160984022801789,0.271665473339907,0.32676156649665,0.220873636851603,0.197609650378683,0.460026622559233,1001
0,0,0.196834244020987,0.282746572761059,0.359845983005348,0.24011114922865,0.192990198416996,0.388535778496504,1001
20,0,0.186082349768714,0.249999929597875,0.3294928429154,0.22290340646421,0.197761510327972,0.461558536153646,1001
40,0,0.196845267797128,0.403994661738664,0.372740428602588,0.144640927669384,0.114218316144692,0.395046586377005,1001
80,0,0.182625107677187,0.376639401133889,0.322590402572634,0.085916296334192,0.0907789676747294,0.307650298792112,1001
0,0,0.215687015767889,0.231531357704266,0.414921107353397,0.382623841234639,0.261422209507989,0.528368804288598,1001
20,0,0.191555599324371,0.350812752515726,0.365282535902447,0.188196719964797,0.153591469668843,0.438179634589234,1001
40,0,0.211584703938563,0.369547296013285,0.32780863899224,0.0744852780326324,0.0793769322601112,0.283063827795552,1001
80,0,0.385997985604223,0.608377664479399,0.568971337898366,0.14356702571311,-0.00492954462961737,0.534181465284532,1001
0,0,0.0829080706116417,0.125553897399969,0.273549658003549,0.338637347995487,0.313807887122638,0.80244484504587,1002
20,0,0.102611875498536,0.126129506706035,0.316132873589886,0.4035243649752,0.334728016414791,0.796677062514961,1002
40,0,0.133284259873383,0.319112812279932,0.375350872760314,0.298304673367313,0.222042881714858,0.791559021369645,1002
60,0,0.128527131528993,0.338340527343799,0.350461656663217,0.234055654453642,0.194975014787178,0.759998306066816,1002
0,0,0.14359095360685,0.284383712530548,0.36391693475503,0.299859203372663,0.234749063997983,0.458689774917642,1002
20,0,0.149296465865874,0.28217039812009,0.320732916849475,0.209998969712985,0.19341827185399,0.352398324430925,1002
40,1,0.244186593750084,0.184471499396504,0.374618996039655,0.32057989893272,0.242033936965247,0.48690903203969,1002
60,1,0.253185065802124,0.215824919313728,0.267064862309027,0.0651197395022018,0.0959176737421705,0.196646279380292,1002
0,1,0.277663732879669,0.25492069435807,0.360178366270306,0.187772305302874,0.155671456658855,0.431527899195431,1002
20,1,0.335545185217199,0.261254939382667,0.407932825059673,0.219065525519479,0.149345700972638,0.476833704159225,1002
40,1,0.225459213189567,0.124593589562558,0.339089263856978,0.328125724961832,0.2689900758333,0.465635056966233,1002
80,1,0.317902899576614,0.151069438405676,0.364419082862583,0.259865827742877,0.205254187506835,0.381996694866346,1002
0,1,0.122049966694819,0.216323622117356,0.323662332551167,0.308951076290159,0.263707279483587,0.47121617601475,1002
20,1,0.144439584890471,0.292497635069919,0.339828635500071,0.242720051039753,0.20025550689992,0.388298882093811,1002
40,1,0.325944996266166,0.148419061112384,0.365412897576336,0.256461737774122,0.202223658846764,0.378278798067141,1002
80,1,0.158688710921958,0.315012734879369,0.399669018513499,0.325636591225671,0.230544209657009,0.512250082601496,1002
0,0,0.0316815261325433,0.178377172342525,0.301953651115761,0.393848603756454,0.337737683710897,0.457886609411118,1003
20,0,0.162912407091041,0.494014868229012,0.465819227155274,0.274711178990495,0.15039581016761,0.574626774066962,1003
40,0,0.242933991519523,0.378621926007376,0.39077380238799,0.15999168724908,0.118064544741319,0.398349014199225,1003
60,0,0.0127438761019825,0.384261038194531,0.332021156000643,0.267037397704772,0.228031822214933,0.474688568269929,1003
0,0,0.0281238562633702,0.0471373078795778,0.46378065599363,0.852300147844313,0.546711029949819,0.977790867369109,1003
20,0,0.0282182798494631,0.35001219263959,0.360861283836879,0.343492095184705,0.267661741304779,0.453155102250466,1003
40,0,0.0154490204464552,0.378725412071994,0.303432721398489,0.212691010278529,0.199556350945788,0.383883448196007,1003
60,0,0.0241883564581436,0.306463689358132,0.321754192682897,0.312856339549518,0.268730689773437,0.476513745770459,1003
0,0,0.29096576824427,0.0588489252164836,0.363169512698255,0.376524331935757,0.287011679867047,0.556554870897591,1003
20,0,0.0343762948609816,0.349081189622936,0.338789901548493,0.294122318613067,0.244978025946316,0.435908515686112,1003
40,0,0.0480226464779813,0.365621932228349,0.35013739185838,0.286630205010429,0.232818953392149,0.478090254134328,1003
80,0,0.283216333081469,0.395168998932285,0.390069715929824,0.101754099845892,0.0743208898274036,0.370579136730278,1003
0,0,0.0668124225716253,0.380984073353387,0.397353176210643,0.346909856496274,0.246982882421699,0.529478589286851,1003
20,0,0.528845842753913,0.37166016822413,0.527266105733699,0.154026200489355,0.0305653702050621,0.548899724112657,1003
40,0,0.409067102696749,0.427810036321141,0.464178621814383,0.0914801046108755,0.025831613719117,0.433250846369624,1003
80,0,0.405558796727287,0.444642285357703,0.475433826160386,0.100666570235782,0.0266285479836863,0.427665574525377,1003
0,0,0.209640413404851,0.356690743859538,0.384130551867812,0.201929946471235,0.151775661704421,0.438666746768197,1004
20,0,0.252749906084597,0.183044753695369,0.284921123242781,0.134047586705594,0.150191480085571,0.331333584764045,1004
40,0,0.256451185954669,0.304380039006056,0.396264310621615,0.231697396282506,0.166380197007325,0.431799839424176,1004
60,0,0.177178778776056,0.326707680000456,0.365512966018612,0.227139473260714,0.181717242327351,0.478055776378378,1004
0,0,0.295776951831894,0.334800134610876,0.427077406463297,0.223577726483824,0.139913879735473,0.429361961111184,1004
20,0,0.288367360216727,0.177577403069285,0.278516099174449,0.0910874350628868,0.127655625904043,0.448850034942117,1004
40,0,0.357819486633314,0.395975960808379,0.46706125952681,0.180327071611927,0.0811283381598361,0.462954434618854,1004
60,0,0.215877005919839,0.363495948271513,0.349572026299532,0.119771098407712,0.102569759081718,0.380605239105108,1004
0,0,0.398252832473519,0.298600699901467,0.397944974030208,0.0990364156854298,0.0650488052375084,0.401227371791278,1004
20,0,0.291281579361917,0.410693100087829,0.403666727119675,0.105358774789604,0.0646654556868365,0.379375828732834,1004
40,0,0.373782082011835,0.325099129760259,0.386142724309004,0.0734042368459144,0.0504757798135775,0.359615016417988,1004
80,0,0.558890706884948,0.450981314977555,0.563463529283484,0.117055036704466,-0.0212840095950945,0.494242223660693,1004
0,0,0.538659474758191,0.363966863097272,0.545376393217547,0.188126448579632,0.0369550966747187,0.528323979070848,1004
20,0,0.342393800896074,0.406115003837405,0.421974401788552,0.0954399988436245,0.0515491698498364,0.370671669189225,1004
40,0,0.358272272737398,0.326397290529034,0.432673586476789,0.180677609687146,0.107170220435778,0.418543959466331,1004
80,0,0.599170705737885,0.38561036520528,0.570841744017102,0.156902417091038,0.00282415964145216,0.558894392886488,1004
0,0,0.00680293265099711,0.171587710028934,0.252453052671778,0.326515462663625,0.297603850076474,0.418164617210346,1005
20,0,0.00785041787155374,0.118308525440004,0.28809761131776,0.450036279323962,0.384616246467865,0.495666969811514,1005
40,0,0.00717093063817871,0.122060390620774,0.249311196423656,0.369391071588359,0.349659495694359,0.479951610558155,1005
60,0,0.00783159492854929,0.142796122214957,0.326789786121776,0.502951855100046,0.399812772071588,0.530746909336383,1005
0,0,0.0601181068541757,0.0115342595328707,0.2845884577036,0.497524549020154,0.420971461449961,0.473549238510745,1005
20,0,0.0165523208645488,0.243131802524481,0.341681982597916,0.423679841806801,0.335580481244419,0.553586840259346,1005
40,0,0.0131102295189472,0.181686188722419,0.317083503815278,0.43937058938919,0.36019732690951,0.517239418290552,1005
60,0,0.00890873434884495,0.22596460101696,0.159996485346881,0.0851196353279562,0.162740316609698,0.216827188221023,1005
0,0,0.0802058240443082,0.0132649792748729,0.263681032528965,0.433891261738749,0.388182654912412,0.482045806061729,1005
20,0,0.0772641717682631,0.0275838168968064,0.222584247906559,0.340320507148048,0.342954938659574,0.329964862685746,1005
40,0,0.013433556641115,0.188792511963913,0.144182879993407,0.0861396913817861,0.169547631836899,0.197855077654014,1005
80,0,0.0170467589688383,0.275136021427029,0.238103128618381,0.184023476840895,0.21219018869321,0.314443171670977,1005
0,0,0.027392021473009,0.172641994478224,0.313659949786942,0.42728588362265,0.35338907889518,0.484641501992243,1005
20,0,0.0191161111614619,0.178372578121454,0.288298595100728,0.37910850091854,0.334789293817434,0.449563794633873,1005
40,0,0.0314592808910906,0.341812791797927,0.353238620525955,0.333205168362893,0.263980861116937,0.46380407276051,1005
80,1,0.0197405457174925,0.289531198975855,0.31559863917115,0.321925533648953,0.278895253884474,0.461395554396343,1005
0,0,0.182423145936124,0.0656280456772496,0.331396921469638,0.414742651325903,0.333542539760051,0.525107629558941,1006
20,0,0.145796074818665,0.122713252653357,0.312081878136526,0.355654428801029,0.304777590363043,0.4996656153405,1006
40,0,0.169526248665539,0.139540161845186,0.327590385865017,0.346114361219308,0.287758201425485,0.515674515668459,1006
60,0,0.0422685314702943,0.324091129457104,0.330077397410113,0.293795133892828,0.248566881462859,0.423085024454225,1006
