Well Label,Sample Name,Type,Size [kb],Conc. (ng/ul),Aligned Area,Migration Time(sec) - Start,Migration Time(sec) - End
Ladder03,Ladder3,LM,0.001,1,148.225969469245,,
Ladder03,Ladder3,L,0.1,0.1,25.902618686988,,
Ladder03,Ladder3,L,0.3,0.1,31.764579363353,,
Ladder03,Ladder3,L,0.5,0.1,32.1837384172573,,
Ladder03,Ladder3,L,0.7,0.1,31.4235420625981,,
Ladder03,Ladder3,L,1.1,0.1,29.5554625029438,,
Ladder03,Ladder3,L,1.9,0.1,28.6089095693107,,
Ladder03,Ladder3,L,2.9,0.1,27.4248889749044,,
Ladder03,Ladder3,L,4.9,0.1,26.1215504523993,,
Ladder03,Ladder3,L,7,0.1,24.7236985060313,,
Ladder03,Ladder3,L,10,0.1,21.6357240899633,,
Ladder03,Ladder3,UM,40,0.4,27.6116771469604,,
D01,Alpha1,LM,0.001,1,106.008634862653,,
D01,Alpha1,,0.0228456301024663,0.0131979032432375,2.02680482626788,,
D01,Alpha1,,0.84998009963562,0.0177400025425883,7.1635538036778,,
D01,Alpha1,,1.79929463196922,0.620526051452213,226.327435072074,,
D01,Alpha1,,39.3824431272776,0.153948400067892,12.3405470355119,,
D02,Alpha2,LM,0.001,1,114.947649925016,,
D02,Alpha2,,0.022982729175679,0.009331983404579,1.55698024286375,,
D02,Alpha2,,0.850462216605978,0.0179899648249532,7.87650004860268,,
D02,Alpha2,,1.66364004716876,0.389122174005582,155.879157143094,,
D02,Alpha2,,141.085384115025,0.278873044222367,22.860829038466,,
D03,Alpha3,LM,0.001,1,111.700758039181,,
D03,Alpha3,,0.0230389295538039,0.00815879253665151,1.32384236380535,,
D03,Alpha3,,0.842513740122759,0.0356045985574745,15.1660183251188,,
D03,Alpha3,,2.13080960160054,1.08598213160685,408.779601824768,,
D03,Alpha3,,39.7494966512885,0.0575453832828358,4.69622099510102,,
D03,Alpha3,,115.944462798332,0.91091464625974,72.5636545359323,,
D04,Alpha4,LM,0.001,1,94.3728980400559,,
D04,Alpha4,,0.789371618548266,0.0181515323571868,6.58326264556181,,
D04,Alpha4,,1.49103979612674,0.186224135875918,62.2394277105579,,
D04,Alpha4,,1.97177889307165,0.542427850688682,173.838122410251,,
D05,Alpha5,LM,0.001,1,99.8782491584666,,
D05,Alpha5,,0.0231781125421491,0.00872189021194596,1.26791333157355,,
D05,Alpha5,,0.796902401946827,0.0184328668834854,7.06753965134304,,
D05,Alpha5,,1.48311933187598,0.184350394635805,65.25517654151,,
D05,Alpha5,,2.17139584361376,0.468535349439131,157.385889503491,,
D05,Alpha5,,3.34199388079387,0.238556616816239,76.5436125642542,,
D05,Alpha5,,150.367830576926,6.33728701266877,451.39800869469,,
D06,Alpha6,LM,0.001,1,102.18080232394,,
D06,Alpha6,,0.797715136652401,0.0117390074461268,4.60419506182066,,
D06,Alpha6,,1.52380382336841,0.164500986100413,59.3476722928551,,
D06,Alpha6,,2.19646770125299,0.388892686420168,133.481408377908,,
D06,Alpha6,,35.8030949300333,0.0929332884227678,9.54778462987968,,
D07,Alpha7,LM,0.001,1,108.795744748408,,
D07,Alpha7,,0.0228649846346843,0.0084487907170705,1.33196054088359,,
D07,Alpha7,,0.805294920923271,0.0164936673036154,6.88022015509718,,
D07,Alpha7,,1.52475795310744,0.169191941984904,64.985888913229,,
D07,Alpha7,,2.28410997658541,0.337798776253074,122.922399009642,,
D07,Alpha7,,3.77156462208278,0.16206601406055,56.1073764008428,,
D07,Alpha7,,36.779446829452,0.0625404394171447,6.37856815821604,,
D08,Alpha8,LM,0.001,1,101.586677661472,,
D08,Alpha8,,0.794879065752673,0.011015210064128,4.2969665037628,,
D08,Alpha8,,1.40723092521944,0.106227619793721,38.5128735391129,,
D08,Alpha8,,2.10001595774411,0.277915802639104,95.2818539082504,,
D08,Alpha8,,3.34116228268029,0.17294807641037,56.4426010268027,,
D09,Alpha9,LM,0.001,1,92.7009813564334,,
D09,Alpha9,,0.787931280849814,0.00928719164200413,3.30933204092648,,
D09,Alpha9,,1.413996102774,0.16564350264208,54.7672635617152,,
D09,Alpha9,,2.12217825466035,0.170637950797562,53.3276695279182,,
D09,Alpha9,,2.94779225738723,0.102106688579392,30.6719377722656,,
D09,Alpha9,,8.8120858555518,0.0699277098993966,18.6936355058874,,
D09,Alpha9,,17.1553437699541,0.0712060071057826,15.209640532969,,
D09,Alpha9,,56.6701096855165,0.0985497905694926,6.51516440215146,,
D10,Alpha10,LM,0.001,1,112.344259775769,,
D10,Alpha10,,0.0242046190481945,0.00994686238140107,1.65002472939761,,
D10,Alpha10,,0.811129232171935,0.0138484219840865,5.9601154633201,,
D10,Alpha10,,1.4366888239009,0.142868856187018,57.1275817637476,,
D10,Alpha10,,2.24358125809414,0.177119937322325,66.6869416784081,,
D10,Alpha10,,3.07470036261277,0.213647697093664,77.5614823636486,,
D10,Alpha10,,51.3359706070575,0.426195249334718,34.1463929025009,,
D11,Alpha11,LM,0.001,1,120.140307735623,,
D11,Alpha11,,0.0237887514944637,0.0093257689498899,1.6447786425688,,
D11,Alpha11,,0.807673680709478,0.0162985842628777,7.50518017614379,,
D11,Alpha11,,1.4700182954627,0.124271694377548,52.9768139607192,,
D11,Alpha11,,2.38147592953702,0.224029979290425,89.5941080980869,,
D11,Alpha11,,4.59821700818193,0.146314944088246,54.907632992327,,
D11,Alpha11,,68.6782163330922,0.37729477306593,32.3262159888175,,
D12,Alpha12,LM,0.001,1,107.080825865991,,
D12,Alpha12,,0.0248460162583054,0.0132976658630809,1.75166809260698,,
D12,Alpha12,,0.818522797451699,0.0196826496499452,5.02122561122029,,
D12,Alpha12,,1.49763055898376,0.227036645665436,53.8182348555473,,
D12,Alpha12,,2.52187123441393,0.280507101619227,63.315858971384,,
D12,Alpha12,,4.40311541000761,0.161566559035186,35.4836202601279,,
D12,Alpha12,,24.0272736775613,0.0367493877744404,4.89746187913731,,
D12,Alpha12,,63.0879864188237,0.0507559901606266,3.51487950863909,,
D12,Alpha12,,137.978826637034,0.0962153759075989,6.66296632423832,,
D13,Alpha13,LM,0.001,1,121.006265861663,,
D13,Alpha13,,0.0249541872219745,0.0112376154612079,1.67423017723437,,
D13,Alpha13,,0.816604461678735,0.0223796643155076,6.45418783902586,,
D13,Alpha13,,1.4773227325786,0.256695173336493,68.8177743045294,,
D13,Alpha13,,2.52803409014263,0.224254207355092,57.1823846974581,,
D13,Alpha13,,4.29916362634569,0.209126026806377,51.9266556679806,,
D13,Alpha13,,54.5058845554608,0.323657774859567,25.328258417991,,
D13,Alpha13,,146.440800669608,0.830228737754494,64.9706253001719,,
D14,Alpha14,LM,0.001,1,100.858635625638,,
D14,Alpha14,,0.0249442967458266,0.0100385316219504,1.24647262251093,,
D14,Alpha14,,0.764334279014263,0.0194601913578614,4.72641095413223,,
D14,Alpha14,,1.38330774266747,0.151725798624575,34.0313657153728,,
D14,Alpha14,,2.55595231428593,0.20412473660331,43.3185154703038,,
D14,Alpha14,,5.70978286790064,0.0714285583353015,14.3709095573454,,
D15,Alpha15,LM,0.001,1,96.291567984478,,
D15,Alpha15,,0.0244497832876161,0.0111367306586735,1.31509871892787,,
D15,Alpha15,,0.75712126305842,0.0218489294348588,5.07347850863657,,
D15,Alpha15,,1.35245819872542,0.230092365576038,49.3323086531166,,
D15,Alpha15,,2.61105112805251,0.422209127410717,85.2897965678081,,
D15,Alpha15,,5.86107883688686,0.351186122779169,67.1315293970265,,
D16,Alpha16,LM,0.001,1,121.15657948077,,
D16,Alpha16,,0.0251910204308639,0.0105536251705241,1.57720233835949,,
D16,Alpha16,,0.788438626508383,0.0152833623529619,4.43784260550965,,
D16,Alpha16,,1.45404219019616,0.179054969084717,48.1075332703787,,
D16,Alpha16,,2.73688291368103,0.186311864400441,47.0351909003632,,
D16,Alpha16,,6.22661848918093,0.0591316348087982,14.0558096663647,,
F07,Alpha17_re,LM,0.001,1,93.9487785873654,,
F07,Alpha17_re,,1.42576871836278,0.100389973909455,16.3183089932398,,
F07,Alpha17_re,,3.1455920046278,0.147201057903915,23.7242997076363,,
D18,Alpha18,LM,0.001,1,100.090880886558,,
D18,Alpha18,,0.75956703511184,0.0143187869526431,3.45445332173218,,
D18,Alpha18,,1.38768431469377,0.176257825161363,39.2259931718807,,
D18,Alpha18,,2.65519511864161,0.209661174962577,43.9200233311135,,
D19,Alpha19,LM,0.001,1,108.013932351595,,
D19,Alpha19,,0.768396802023905,0.0284320323576345,7.38944073002004,,
D19,Alpha19,,1.6176749105224,0.708292662566589,168.546622650131,,
D19,Alpha19,,3.90307314746273,0.596324976522972,132.414387942324,,
D19,Alpha19,,9.87070293337363,0.881998892330303,169.17044051534,,
D19,Alpha19,,61.3859199883206,0.0655474675493855,4.57875198310362,,
D19,Alpha19,,103.993091544813,0.489598834245894,34.2004308791884,,
D19,Alpha19,,114.581856073645,0.584606757139493,40.8371131435622,,
D19,Alpha19,,136.515725454798,1.63368576561544,114.119465156209,,
D19,Alpha19,,173.828514746874,0.513805828046715,35.8913859231339,,
F08,Alpha20_re,LM,0.001,1,99.1554071208862,,
F08,Alpha20_re,,0.785574267609284,0.0276513758728869,5.19768511258788,,
F08,Alpha20_re,,1.5161071945866,0.262112585964534,44.6920618911703,,
F08,Alpha20_re,,4.34240223653446,0.265668663512923,41.4237159591917,,
F08,Alpha20_re,,7.51847557800869,0.280636018843125,41.3953810463275,,
F08,Alpha20_re,,41.4170806418841,1.16103317416464,37.3579963538443,,
E01,Beta1,LM,0.001,1,95.7780465111068,,
E01,Beta1,,0.764141923227227,0.012525849406386,2.88908878008885,,
E01,Beta1,,1.33519315637207,0.120244268999496,25.6607866841283,,
E01,Beta1,,2.49034829270311,0.2623841008391,53.0629967992778,,
E01,Beta1,,5.58522129804808,0.18311458094386,35.1243398471887,,
