"size_difference","shared_otu","comA_HMAa","comB_HMAa","All_HMAa","HMAb","Rao_beta","UniFrac","seed"
0,0,0.233656587831276,0.178948211701403,0.316361346963578,0.220117894394477,0.204123673470481,0.845355109267204,1001
20,0,0.17974556291664,0.174082261778745,0.354678133653516,0.355528442611646,0.277085856137326,0.894397227255405,1001
40,0,0.315727265381444,0.204791240484229,0.367582922978809,0.214647340091945,0.171344482000496,0.870386989559539,1001
60,0,0.0959589459460544,0.160717181764035,0.333722842982233,0.410769558254377,0.323957757389045,0.879366919969621,1001
0,0,0.271497578134763,0.109687219113661,0.308100655962203,0.235016514675983,0.219039852268476,0.827264172076904,1001
20,0,0.156479272754039,0.165571407617715,0.329152552929432,0.336254425487108,0.276538689857812,0.840106879938742,1001
40,0,0.0906121707594335,0.223092293016841,0.310418190548051,0.307131917319827,0.270146991352104,0.826166396977659,1001
60,0,0.111410879213234,0.251710067703711,0.32519501637394,0.287269085830936,0.246404581083209,0.800437242779007,1001
0,0,0.202045330357071,0.363723343987391,0.401096350070224,0.236424025795985,0.16609982764194,0.761279313765231,1001
20,0,0.133465013794587,0.234173581195674,0.328356082645476,0.289073570300691,0.2459808268689,0.800151686216448,1001
40,0,0.213956061509265,0.387533499338082,0.410656418234516,0.219823275621685,0.150113430537917,0.759533606731274,1001
80,0,0.233672805371424,0.314144616936733,0.403344436241475,0.258871450174794,0.1807992526253,0.826064201444332,1001
0,0,0.242731128807936,0.179506912998448,0.393954625137666,0.365671208468949,0.261441383346846,0.877654872541393,1001
20,0,0.22843717610294,0.398326729653561,0.415739254692434,0.204714603628368,0.137008631516633,0.814588932687395,1001
40,0,0.249385095400255,0.310310739773182,0.404000414640164,0.248304994106891,0.172773756415158,0.780995211088421,1001
80,0,0.403740014521207,0.365980022101697,0.438428441237742,0.107136845852581,0.0524741269303589,0.623333350334318,1001
0,0,0.0829080706116417,0.125553897399969,0.273549658003549,0.338637347995487,0.313807887122638,0.80244484504587,1002
20,0,0.102611875498536,0.126129506706035,0.316132873589886,0.4035243649752,0.334728016414791,0.796677062514961,1002
40,0,0.133284259873383,0.319112812279932,0.375350872760314,0.298304673367313,0.222042881714858,0.791559021369645,1002
60,0,0.128527131528993,0.338340527343799,0.350461656663217,0.234055654453642,0.194975014787178,0.759998306066816,1002
0,0,0.168855762337068,0.262517243624426,0.352063520638607,0.272754035315718,0.220156402789751,0.757898148258335,1002
20,0,0.164476837766556,0.286271388067672,0.39391438544979,0.337080545065352,0.242348477642161,0.7917004196566,1002
40,1,0.0784698672074594,0.283754415153266,0.309620743201953,0.25701720404318,0.234954119844983,0.672138609110712,1002
60,1,0.228850829979353,0.210256448748545,0.285009043002805,0.130910807277712,0.146838955711489,0.47414921513386,1002
0,1,0.253169142761479,0.208314631850171,0.349975101448031,0.238466428284412,0.198473443389169,0.74043334217308,1002
20,1,0.361744141887518,0.230378908098803,0.435912602189242,0.279702154392163,0.175013742526181,0.820022538065859,1002
40,1,0.346275976044335,0.127817185284783,0.355728265908574,0.237363370488031,0.194006021017874,0.767471608161121,1002
80,1,0.346275976044335,0.140655436533656,0.359000454967646,0.231069497357301,0.187525020692837,0.759393956770366,1002
0,1,0.147938542739644,0.185176548729029,0.268342187597752,0.203569283726831,0.216123545034948,0.431961067994027,1002
20,1,0.189542165034061,0.235152873912201,0.30832076812839,0.191946497310518,0.187217093945566,0.655286098720153,1002
40,1,0.355888523813471,0.138927877786889,0.359174170415852,0.223531939231345,0.181860319705782,0.749329827622132,1002
80,1,0.135391971949103,0.288465366844779,0.320421984731314,0.216986630668747,0.19742447078408,0.730974871244412,1002
0,0,0.0123025997460788,0.282380563552358,0.246854605268473,0.199026047238508,0.210207841600577,0.699809267545554,1003
20,0,0.0164484343767849,0.32045235116214,0.360888189724261,0.384875593909596,0.296800850498131,0.940022108250327,1003
40,0,0.0175392516449304,0.267966598298638,0.30029592623243,0.315086002521291,0.2829011937177,0.868759734458186,1003
60,0,0.137545005847923,0.241128541573203,0.264699333178057,0.150725118934987,0.175257683583776,0.826789904044956,1003
0,0,0.0223920469410822,0.23842717144046,0.290406997582817,0.319994776784092,0.289644335723748,0.825291688083546,1003
20,0,0.0285020822772683,0.281696171730013,0.393564757597343,0.476931261187404,0.340731687379833,0.800148580987835,1003
40,0,0.0285020822772683,0.335735643157573,0.3991122454999,0.433986765564959,0.30760077125727,0.804654622858443,1003
60,0,0.0252696274301333,0.349100192258834,0.318635255272098,0.26290069085523,0.234370783140581,0.763766131414845,1003
0,0,0.301032986503698,0.0516694939871852,0.248447972020528,0.144193463550173,0.178243535105372,0.446107116942031,1003
20,0,0.0622546642633754,0.326016112882914,0.313779895572303,0.239289013998315,0.21603718915996,0.771210559550644,1003
40,0,0.21820985796016,0.363580842376345,0.38101841692576,0.180246133515015,0.139334539753746,0.817418776602406,1003
80,0,0.311610344034735,0.416561312746255,0.422004741905687,0.115837827030385,0.0688865161335809,0.700286073385576,1003
0,0,0.221421701807989,0.378707695633118,0.404198453411172,0.208267509381237,0.127648392546304,0.747445011064909,1003
20,0,0.345565466327534,0.379801692344306,0.422079138214148,0.118791117756457,0.0714445315855188,0.697688574400521,1003
40,0,0.332589055626879,0.364221062429396,0.384086930959139,0.0713637438620027,0.0561931944547059,0.535118658327929,1003
80,0,0.332589055626879,0.385945135426134,0.392802564909141,0.0670709387652683,0.0483033590801442,0.521586234023746,1003
0,0,0.170690132429337,0.35167699044473,0.354433462966655,0.186499803059244,0.155666685128259,0.847084722709469,1004
20,0,0.256707925308203,0.308194246707065,0.420701295059521,0.276500418103775,0.184121743433944,0.919312918579289,1004
40,0,0.120725940143478,0.295695120960182,0.370766306503823,0.325111551903986,0.247703995489623,0.949086075454555,1004
60,0,0.0985037984047051,0.239892894940012,0.328290708748382,0.318184724152047,0.266144897743533,0.854426096224963,1004
0,0,0.315104831899953,0.162989845676802,0.287615052890196,0.0971354282036369,0.128145822333771,0.775808569224465,1004
20,0,0.236102217281584,0.25851204730965,0.354401742426815,0.214189220262396,0.17194461100937,0.693997492921448,1004
